70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-23/17-23-46.625,7.196,7.198,5.2,20.8,25.84,25.85,0.858,28.312
24-01-23/17-23-49.885,7.196,7.199,10.0,1.6,25.84,25.85,5.123,22.509
24-01-23/17-23-53.057,7.195,7.197,13.8,2.0,25.84,25.85,20.875,13.561
24-01-23/17-23-56.001,7.197,7.201,31.6,26.9,25.85,25.86,28.462,18.146
24-01-23/17-23-59.010,7.197,7.201,31.6,25.0,25.85,25.86,28.282,18.146
24-01-23/17-24-01.693,7.196,7.199,3.2,24.1,25.84,25.85,4.715,15.718
24-01-23/17-24-04.201,7.196,7.199,1.8,24.1,25.83,25.84,24.953,16.431
24-01-23/17-24-07.550,7.197,7.200,10.0,36.6,25.83,25.84,35.211,8.349
24-01-23/17-24-10.702,7.196,7.199,2.6,25.8,25.83,25.84,27.481,4.481
24-01-23/17-24-13.279,7.197,7.200,40.3,7.7,25.84,25.85,3.664,40.507
24-01-23/17-24-16.510,7.198,7.200,0.8,0.2,25.84,25.85,3.664,40.507
24-01-23/17-24-19.839,7.206,7.209,14.9,20.8,25.87,25.88,3.663,88.410
24-01-23/17-24-23.065,7.210,7.212,20.7,12.2,25.88,25.89,5.639,8.641
24-01-23/17-24-25.379,7.211,7.213,13.8,22.6,25.89,25.90,26.215,0.649
24-01-23/17-24-28.591,7.216,7.218,13.8,13.6,25.91,25.92,14.127,12.518
24-01-23/17-24-31.660,7.218,7.219,22.9,34.7,25.92,25.93,33.639,7.504
24-01-23/17-24-34.786,7.220,7.221,40.4,9.5,25.92,25.93,35.346,7.504
24-01-23/17-24-37.943,7.215,7.218,13.3,1.2,25.90,25.91,25.105,4.973
24-01-23/17-24-40.978,7.212,7.216,6.2,24.2,25.90,25.91,22.056,10.679
24-01-23/17-24-43.358,7.212,7.215,36.7,26.2,25.90,25.91,22.056,13.498
24-01-23/17-24-47.008,7.213,7.217,29.7,2.9,25.91,25.92,26.978,17.330
24-01-23/17-24-49.389,7.214,7.218,10.0,4.5,25.90,25.91,87.550,8.185
24-01-23/17-24-52.229,7.215,7.218,10.0,10.5,25.92,25.93,15.687,71.058
24-01-23/17-24-55.699,7.217,7.221,5.1,10.8,25.93,25.94,11.678,112.749
24-01-23/17-24-59.104,7.219,7.222,16.9,8.2,25.93,25.94,15.128,43.733
24-01-23/17-25-01.721,7.220,7.222,20.7,8.2,25.93,25.94,14.231,16.310
24-01-23/17-25-05.067,7.230,7.232,13.8,9.7,25.96,25.97,18.256,57.306
24-01-23/17-25-07.517,7.230,7.231,34.0,0.4,25.98,25.99,11.637,7.376
24-01-23/17-25-10.716,7.235,7.236,79.8,110.3,26.00,26.01,10.839,16.124
24-01-23/17-25-14.065,7.246,7.247,21.6,3.3,26.02,26.03,38.374,42.258
24-01-23/17-25-16.806,7.248,7.249,31.8,12.4,26.03,26.04,44.594,2.805
24-01-23/17-25-20.106,7.259,7.260,10.3,63.8,26.02,26.03,151.344,0.778
24-01-23/17-25-22.802,7.263,7.264,21.0,9.2,26.02,26.03,30.930,0.778
24-01-23/17-25-25.976,7.276,7.278,15.4,9.0,26.03,26.04,94.329,1.183
24-01-23/17-25-29.059,7.280,7.284,13.1,189.9,26.03,26.04,58.317,0.768
24-01-23/17-25-31.776,7.296,7.297,2478.7,144.1,26.05,26.06,13.017,24.620
24-01-23/17-25-35.061,7.291,7.295,39.9,33.0,26.04,26.05,42.306,2.609
24-01-23/17-25-37.692,7.291,7.292,3.5,34.3,26.04,26.05,12.575,2.805
24-01-23/17-25-40.790,7.301,7.303,13.5,26.0,26.05,26.06,11.076,33.292
24-01-23/17-25-43.987,7.282,7.285,54.5,213.4,26.04,26.05,8.486,16.399
24-01-23/17-25-46.677,7.279,7.282,14.8,62.3,26.05,26.06,8.687,7.136
24-01-23/17-25-49.861,7.275,7.280,23.6,32.9,26.06,26.07,24.078,11.270
24-01-23/17-25-52.940,7.273,7.278,11.4,4.1,26.07,26.08,43.218,12.107
24-01-23/17-25-55.676,7.269,7.273,36.2,16.4,26.09,26.10,1.580,14.246
24-01-23/17-25-58.880,7.247,7.252,77.4,11.3,26.09,26.10,11.279,13.657
24-01-23/17-26-01.709,7.252,7.255,48.6,7.0,26.08,26.09,12.120,0.778
24-01-23/17-26-04.605,7.258,7.260,17.9,0.1,26.10,26.11,0.277,106.378
24-01-23/17-26-07.628,7.254,7.259,405.7,30.6,26.08,26.09,63.148,6.528
24-01-23/17-26-10.779,7.254,7.257,26.5,23.2,26.09,26.10,3.049,8.105
24-01-23/17-26-14.078,7.252,7.254,21.1,15.6,26.09,26.10,58.123,0.778
24-01-23/17-26-17.040,7.253,7.255,24.6,690.4,26.09,26.10,12.912,1.401
24-01-23/17-26-19.769,7.245,7.247,21.1,49.2,26.08,26.09,69.489,0.778
24-01-23/17-26-23.000,7.247,7.248,89.3,2638.9,26.09,26.10,11.663,14.920
24-01-23/17-26-25.794,7.250,7.253,30.8,17.9,26.11,26.12,40.550,49.689
24-01-23/17-26-28.538,7.244,7.245,27.4,20.9,26.10,26.11,23.846,17.062
24-01-23/17-26-31.493,7.237,7.239,32.1,3535.2,26.12,26.13,44.181,0.311
24-01-23/17-26-34.840,7.255,7.256,26.5,5.0,26.13,26.14,25.359,1.537
24-01-23/17-26-37.786,7.264,7.266,27.1,24.9,26.15,26.16,19.126,17.314
24-01-23/17-26-40.996,7.268,7.269,127.9,108.8,26.14,26.15,33.955,0.778
24-01-23/17-26-43.953,7.264,7.265,21.6,8360.5,26.14,26.15,30.551,1.533
24-01-23/17-26-47.033,7.249,7.250,26.4,1965.7,26.14,26.15,12.027,1.533
24-01-23/17-26-50.013,7.242,7.246,60.1,11.4,26.14,26.15,1.282,7.744
24-01-23/17-26-52.857,7.237,7.239,15.8,1931.5,26.14,26.15,2.035,7.744
24-01-23/17-26-55.681,7.237,7.238,41.8,704.3,26.14,26.15,2.035,7.744
24-01-23/17-26-58.758,7.250,7.251,13.6,1319.0,26.15,26.16,3.229,93.660
24-01-23/17-27-01.673,7.243,7.245,300.7,1055.1,26.14,26.15,17.829,8.973
24-01-23/17-27-05.070,7.240,7.243,48.0,34.0,26.14,26.15,30.775,14.999
24-01-23/17-27-07.678,7.248,7.249,124.4,39.1,26.15,26.16,7.083,14.793
24-01-23/17-27-11.023,7.257,7.259,36.8,21.7,26.16,26.17,21.041,9.130
24-01-23/17-27-14.146,7.262,7.265,41.9,4221.8,26.17,26.18,16.800,23.445
24-01-23/17-27-17.034,7.264,7.265,367.5,2223.2,26.17,26.18,35.270,1.269
24-01-23/17-27-19.721,7.264,7.265,112.6,1948.0,26.15,26.16,11.147,17.840
24-01-23/17-27-22.960,7.270,7.273,48.6,149.9,26.16,26.17,10.371,1.146
24-01-23/17-27-25.855,7.277,7.280,1.1,1.4,26.18,26.19,23.369,0.778
24-01-23/17-27-28.607,7.279,7.280,70.5,14.2,26.19,26.20,7.728,45.869
24-01-23/17-27-31.937,7.279,7.280,191.7,7.2,26.19,26.20,0.728,54.967
24-01-23/17-27-34.771,7.278,7.279,10.5,8.8,26.16,26.17,38.512,22.429
24-01-23/17-27-38.013,7.278,7.280,3.5,180.7,26.18,26.19,27.159,30.637
24-01-23/17-27-40.894,7.287,7.288,370.1,29.7,26.18,26.19,22.065,13.536
24-01-23/17-27-43.773,7.301,7.302,53.6,205.3,26.18,26.19,19.846,1.121
24-01-23/17-27-47.060,7.316,7.317,4757.0,65.7,26.19,26.20,16.355,16.540
24-01-23/17-27-50.156,7.316,7.317,2771.3,107.3,26.20,26.21,8.219,78.283
24-01-23/17-27-52.896,7.324,7.325,329.7,70.4,26.19,26.20,13.225,33.851
24-01-23/17-27-55.730,7.346,7.347,1843.5,240.1,26.19,26.20,2.978,34.233
24-01-23/17-27-58.900,7.350,7.354,5.8,156.9,26.19,26.20,13.055,33.470
24-01-23/17-28-01.500,7.330,7.331,3.5,137.5,26.19,26.20,4.047,33.470
24-01-23/17-28-04.795,7.331,7.333,19.1,104.7,26.20,26.21,14.683,25.538
24-01-23/17-28-07.745,7.332,7.335,63.5,319.7,26.19,26.20,31.991,9.610
24-01-23/17-28-11.094,7.327,7.330,21.8,117.0,26.19,26.20,31.991,38.690
24-01-23/17-28-13.895,7.326,7.328,42.2,115.1,26.20,26.21,5.318,44.947
24-01-23/17-28-17.137,7.320,7.322,10.0,186.1,26.18,26.19,37.484,5.519
24-01-23/17-28-19.820,7.320,7.321,5.6,119.6,26.18,26.19,50.108,10.622
24-01-23/17-28-22.699,7.316,7.318,2.8,124.8,26.19,26.20,3.231,38.883
24-01-23/17-28-25.638,7.314,7.315,1.9,150.9,26.18,26.19,18.676,27.609
24-01-23/17-28-28.343,7.317,7.319,20.0,495.5,26.19,26.20,24.426,16.235
24-01-23/17-28-32.113,7.313,7.316,183.3,155.6,26.18,26.19,61.077,13.452
24-01-23/17-28-34.963,7.314,7.315,1.1,114.4,26.20,26.21,10.291,13.585
24-01-23/17-28-37.576,7.314,7.315,61.7,120.7,26.21,26.22,14.229,18.530
24-01-23/17-28-40.778,7.314,7.315,9.0,38.9,26.21,26.22,14.725,13.530
24-01-23/17-28-43.685,7.314,7.317,1.2,46.4,26.21,26.22,22.469,8.736
24-01-23/17-28-46.800,7.315,7.317,1.9,8.7,26.21,26.22,22.850,8.736
24-01-23/17-28-49.940,7.315,7.317,59.0,8.7,26.20,26.21,62.339,21.126
24-01-23/17-28-52.763,7.313,7.315,96.9,10.0,26.20,26.21,12.024,21.126
24-01-23/17-28-55.804,7.310,7.313,0.2,12.2,26.18,26.19,4.401,2.738
24-01-23/17-28-59.037,7.310,7.313,1.3,5.2,26.18,26.19,21.176,2.738
24-01-23/17-29-01.657,7.314,7.315,1.3,10.0,26.20,26.21,8.662,6.356
24-01-23/17-29-04.838,7.309,7.312,7.2,53.4,26.19,26.20,11.375,4.036
24-01-23/17-29-07.926,7.312,7.315,50.7,1.4,26.19,26.20,17.101,4.036
24-01-23/17-29-10.956,7.314,7.316,27.2,4.3,26.19,26.20,15.978,2.771
24-01-23/17-29-13.667,7.311,7.314,9.5,10.0,26.17,26.18,75.149,13.528
