Date,zenBidPrice,zenAskPrice,zenBidQty,zenAskQty,dashBidPrice,dashAskPrice,dashBidQty,dashAskQty

70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-22/14-22-31.432,8.028,8.029,26.6,2.3,28.13,28.14,7.356,13.051
24-01-22/14-22-34.717,8.028,8.029,47.2,2.3,28.13,28.14,16.986,15.146
24-01-22/14-22-37.759,8.028,8.029,28.6,0.7,28.13,28.14,11.655,17.941
24-01-22/14-22-40.693,8.023,8.025,18.6,13.1,28.12,28.13,0.493,39.067
24-01-22/14-22-44.076,8.019,8.022,21.2,11.2,28.11,28.12,1.725,76.754
24-01-22/14-22-47.060,8.021,8.023,35.5,13.6,28.11,28.12,1.725,66.842
24-01-22/14-22-50.237,8.021,8.022,25.5,42.9,28.11,28.12,3.690,71.208
24-01-22/14-22-52.580,8.021,8.022,27.8,45.9,28.11,28.12,10.278,71.208
24-01-22/14-22-55.661,8.021,8.022,9.2,45.9,28.11,28.12,3.335,71.721
24-01-22/14-22-59.292,8.021,8.022,11.9,45.9,28.11,28.12,5.217,71.908
24-01-22/14-23-02.258,8.024,8.025,27.2,51.3,28.12,28.13,26.831,5.414
24-01-22/14-23-05.409,8.024,8.025,11.5,95.0,28.12,28.13,30.095,2.382
24-01-22/14-23-08.024,8.024,8.025,21.3,95.0,28.12,28.13,30.525,2.268
24-01-22/14-23-08.983,8.024,8.025,21.3,95.0,28.13,28.14,3.182,54.357
24-01-22/14-23-12.097,8.024,8.025,16.3,95.0,28.12,28.13,52.094,3.065
24-01-22/14-23-16.310,8.024,8.025,10.3,114.5,28.12,28.13,65.153,3.685
24-01-22/14-23-20.026,8.024,8.025,11.9,115.9,28.12,28.13,68.708,5.799
24-01-22/14-23-23.133,8.024,8.025,11.9,113.2,28.12,28.13,61.611,7.451
24-01-22/14-23-23.133,8.024,8.025,11.9,113.2,28.12,28.13,63.879,8.953
24-01-22/14-23-23.133,8.024,8.025,11.9,113.2,28.12,28.13,60.324,9.755
24-01-22/14-23-31.675,8.024,8.025,30.8,61.9,28.13,28.14,0.582,56.363
24-01-22/14-23-33.531,8.024,8.025,12.2,61.9,28.13,28.14,3.562,58.661
24-01-22/14-23-38.298,8.024,8.027,21.7,102.2,28.13,28.14,3.447,59.174
24-01-22/14-23-41.225,8.024,8.026,23.7,5.5,28.13,28.14,3.447,62.745
24-01-22/14-23-43.450,8.024,8.026,26.9,6.6,28.13,28.14,3.447,62.358
24-01-22/14-23-46.384,8.025,8.027,32.4,126.6,28.13,28.14,8.778,62.358
24-01-22/14-23-47.623,8.025,8.027,35.6,126.5,28.13,28.14,13.306,62.358
24-01-22/14-23-53.270,8.025,8.027,8.0,126.1,28.13,28.14,16.212,62.358
24-01-22/14-23-53.270,8.025,8.027,8.0,126.1,28.13,28.14,16.212,62.358
24-01-22/14-23-58.638,8.025,8.026,8.0,13.7,28.13,28.14,7.290,61.909
24-01-22/14-24-02.346,8.022,8.024,38.2,10.0,28.13,28.14,8.069,61.909
24-01-22/14-24-05.396,8.023,8.025,21.8,4.3,28.13,28.14,9.096,61.957
24-01-22/14-24-07.624,8.024,8.027,31.2,73.5,28.13,28.14,17.979,61.957
24-01-22/14-24-10.980,8.030,8.031,11.2,0.8,28.13,28.14,21.160,61.957
24-01-22/14-24-13.465,8.029,8.031,16.2,0.8,28.13,28.14,17.870,61.649
24-01-22/14-24-16.937,8.030,8.031,14.6,0.8,28.13,28.14,18.057,61.649
24-01-22/14-24-18.334,8.030,8.031,5.7,24.2,28.13,28.14,21.475,59.717
24-01-22/14-24-23.373,8.030,8.031,28.5,4.7,28.13,28.14,25.984,59.717
24-01-22/14-24-23.373,8.030,8.031,28.5,4.7,28.14,28.15,46.116,12.419
24-01-22/14-24-28.328,8.030,8.031,9.9,19.5,28.14,28.15,46.938,11.457
24-01-22/14-24-32.195,8.030,8.031,11.3,19.5,28.14,28.15,46.947,10.906
24-01-22/14-24-32.195,8.030,8.031,11.3,19.5,28.15,28.16,23.033,6.378
24-01-22/14-24-37.708,8.030,8.031,35.2,0.9,28.15,28.16,18.421,6.378
24-01-22/14-24-40.855,8.030,8.031,38.4,0.9,28.15,28.16,22.969,9.687
24-01-22/14-24-43.714,8.031,8.032,9.4,21.6,28.15,28.16,15.060,9.621
24-01-22/14-24-43.714,8.031,8.032,9.4,21.6,28.15,28.16,15.057,11.425
24-01-22/14-24-43.714,8.031,8.032,9.4,21.6,28.15,28.16,15.276,11.425
24-01-22/14-24-52.952,8.031,8.032,16.0,23.4,28.15,28.16,16.333,10.488
24-01-22/14-24-55.052,8.031,8.032,44.7,1.6,28.15,28.16,23.275,10.488
24-01-22/14-24-55.052,8.031,8.032,44.7,1.6,28.15,28.16,25.632,10.925
24-01-22/14-25-01.761,8.031,8.032,46.1,3.4,28.16,28.17,19.302,110.374
24-01-22/14-25-04.463,8.034,8.036,36.5,21.8,28.16,28.17,22.819,97.494
24-01-22/14-25-08.327,8.034,8.035,45.6,30.7,28.16,28.17,22.819,62.859
24-01-22/14-25-10.267,8.034,8.035,45.6,30.7,28.16,28.17,22.819,44.435
24-01-22/14-25-12.931,8.034,8.035,46.5,6.8,28.16,28.17,19.401,43.988
24-01-22/14-25-17.251,8.031,8.032,2.0,36.6,28.15,28.16,13.276,31.090
24-01-22/14-25-19.706,8.030,8.032,3.6,36.6,28.15,28.16,16.056,31.090
24-01-22/14-25-21.781,8.030,8.033,22.9,22.1,28.16,28.17,4.556,60.025
24-01-22/14-25-23.770,8.030,8.033,22.9,20.7,28.16,28.17,2.790,60.593
24-01-22/14-25-28.845,8.033,8.035,11.2,23.8,28.16,28.17,10.019,49.193
24-01-22/14-25-30.395,8.033,8.035,11.2,23.8,28.16,28.17,5.237,49.193
24-01-22/14-25-34.970,8.036,8.037,6.0,46.1,28.16,28.17,9.254,48.919
24-01-22/14-25-37.692,8.033,8.035,32.1,5.1,28.16,28.17,9.254,49.615
24-01-22/14-25-41.184,8.032,8.035,19.6,25.4,28.15,28.16,14.420,31.461
24-01-22/14-25-43.368,8.032,8.034,24.9,0.6,28.15,28.16,14.420,33.641
24-01-22/14-25-46.842,8.032,8.034,24.9,0.6,28.16,28.17,7.167,103.962
24-01-22/14-25-49.992,8.033,8.034,49.7,0.6,28.16,28.17,7.167,103.962
24-01-22/14-25-53.074,8.035,8.036,29.8,21.4,28.16,28.17,10.717,47.673
24-01-22/14-25-55.950,8.035,8.036,4.5,23.0,28.16,28.17,14.267,48.173
24-01-22/14-25-59.231,8.035,8.036,5.2,19.6,28.16,28.17,17.410,48.360
24-01-22/14-26-02.269,8.041,8.042,29.8,5.0,28.18,28.19,13.194,115.538
24-01-22/14-26-04.922,8.041,8.042,29.8,5.0,28.18,28.19,3.888,137.824
24-01-22/14-26-07.915,8.043,8.045,13.0,4.5,28.18,28.19,3.888,77.977
24-01-22/14-26-11.204,8.043,8.046,112.6,60.6,28.18,28.19,7.889,41.404
24-01-22/14-26-14.400,8.043,8.046,117.4,60.6,28.18,28.19,7.889,40.552
24-01-22/14-26-16.985,8.043,8.046,108.8,60.6,28.18,28.19,24.972,17.184
24-01-22/14-26-20.172,8.045,8.046,18.0,63.5,28.18,28.19,37.084,17.571
24-01-22/14-26-22.990,8.045,8.046,17.8,43.5,28.18,28.19,33.003,17.031
24-01-22/14-26-26.031,8.041,8.043,20.7,11.9,28.18,28.19,12.640,44.134
24-01-22/14-26-28.236,8.041,8.043,9.7,18.8,28.18,28.19,12.879,44.134
24-01-22/14-26-32.002,8.042,8.044,12.6,4.8,28.18,28.19,12.879,44.134
24-01-22/14-26-34.128,8.042,8.043,2.8,0.2,28.18,28.19,12.879,22.664
24-01-22/14-26-38.415,8.039,8.041,19.7,31.1,28.17,28.18,1.735,33.045
24-01-22/14-26-41.283,8.036,8.038,18.6,20.4,28.16,28.17,9.839,38.218
24-01-22/14-26-43.885,8.037,8.039,10.0,20.1,28.16,28.17,13.389,20.096
24-01-22/14-26-46.765,8.038,8.039,10.0,17.9,28.16,28.17,13.594,20.396
